state,stateshort,2010population,2019population,electoralvotes,personpervote,2020result,2020resultsimple,2020delta
Alabama,AL,4779736,4903185,9,544798,REPUBLICAN,Trump,25.5%
Alaska,AK,710231,731545,3,243848,REPUBLICAN,Trump,10.1%
Arizona,AZ,6392017,7278717,11,661702,SWING-DEM,Biden,0.3%
Arkansas,AR,2915918,3017804,6,502967,REPUBLICAN,Trump,27.6%
California,CA,37253956,39512223,55,718404,DEMOCRAT,Biden,29.2%
Colorado,CO,5029196,5758736,9,639860,DEMOCRAT,Biden,13.4%
Connecticut,CT,3574097,3565287,7,509327,DEMOCRAT,Biden,20.1%
Delaware,DE,897934,973764,3,324588,DEMOCRAT,Biden,19%
District of Columbia,DC,601723,705749,3,235250,DEMOCRAT,Biden,86.8%
Florida,FL,18801310,21477737,29,740612,SWING-REP,Trump,3.4%
Georgia,GA,9687653,10617423,16,663589,SWING-DEM,Biden,0.2%
Hawaii,HI,1360301,1415872,4,353968,DEMOCRAT,Biden,29.2%
Idaho,ID,1567582,1787065,4,446766,REPUBLICAN,Trump,30.8%
Illinois,IL,12830632,12671821,20,633591,DEMOCRAT,Biden,17%
Indiana,IN,6483802,6732219,11,612020,REPUBLICAN,Trump,16.1%
Iowa,IA,3046355,3155070,6,525845,REPUBLICAN,Trump,8.2%
Kansas,KS,2853118,2913314,6,485552,REPUBLICAN,Trump,14.7%
Kentucky,KY,4339367,4467673,8,558459,REPUBLICAN,Trump,25.9%
Louisiana,LA,4533372,4648794,8,581099,REPUBLICAN,Trump,18.6%
Maine,ME,1328361,1344212,4,336053,DEMOCRAT,Biden,9%
Maryland,MD,5773552,6045680,10,604568,DEMOCRAT,Biden,33.2%
Massachusetts,MA,6547629,6892503,11,626591,DEMOCRAT,Biden,33.2%
Michigan,MI,9883640,9986857,16,624179,SWING-DEM,Biden,2.8%
Minnesota,MN,5303925,5639632,10,563963,DEMOCRAT,Biden,7.1%
Mississippi,MS,2967297,2976149,6,496025,REPUBLICAN,Trump,16.5%
Missouri,MO,5988927,6137428,10,613743,REPUBLICAN,Trump,15.4%
Montana,MT,989415,1068778,3,356259,REPUBLICAN,Trump,16.4%
Nebraska,NE,1826341,1934408,5,386882,REPUBLICAN,Trump,19.1%
Nevada,NV,2700551,3080156,6,513359,SWING-DEM,Biden,2.4%
New Hampshire,NH,1316470,1359711,4,339928,DEMOCRAT,Biden,7.4%
New Jersey,NJ,8791894,8882190,14,634442,DEMOCRAT,Biden,15.9%
New Mexico,NM,2059179,2096829,5,419366,DEMOCRAT,Biden,10.8%
New York,NY,19378102,19453561,29,670812,DEMOCRAT,Biden,22.9%
North Carolina,NC,9535483,10488084,15,699206,SWING-REP,Trump,1.3%
North Dakota,ND,672591,762062,3,254021,REPUBLICAN,Trump,33.4%
Ohio,OH,11536504,11689100,18,649394,SWING-REP,Trump,8%
Oklahoma,OK,3751351,3956971,7,565282,REPUBLICAN,Trump,33.1%
Oregon,OR,3831074,4217737,7,602534,DEMOCRAT,Biden,16.1%
Pennsylvania,PA,12702379,12801989,20,640099,SWING-DEM,Biden,1.2%
Rhode Island,RI,1052567,1059361,4,264840,DEMOCRAT,Biden,20.8%
South Carolina,SC,4625364,5148714,9,572079,REPUBLICAN,Trump,11.7%
South Dakota,SD,814180,884659,3,294886,REPUBLICAN,Trump,26.2%
Tennessee,TN,6346105,6829174,11,620834,REPUBLICAN,Trump,23.2%
Texas,TX,25145561,28995881,38,763050,REPUBLICAN,Trump,5.6%
Utah,UT,2763885,3205958,6,534326,REPUBLICAN,Trump,20.5%
Vermont,VT,625741,623989,3,207996,DEMOCRAT,Biden,35.1%
Virginia,VA,8001024,8535519,13,656578,DEMOCRAT,Biden,10.1%
Washington,WA,6724540,7614893,12,634574,DEMOCRAT,Biden,19.2%
West Virginia,WV,1852994,1792147,5,358429,REPUBLICAN,Trump,38.9%
Wisconsin,WI,5686986,5822434,10,582243,SWING-DEM,Biden,0.6%
Wyoming,WY,563626,578759,3,192920,REPUBLICAN,Trump,43.1%
