Main_Genre,imdb_rating,length,rank_in_year,rating,studio,title,worldwide_gross,year
Action,7.4,135,1,PG-13,Walt Disney Pictures,Black Panther,"$1,346,913,161.00 ",2018
Action,8.5,156,2,PG-13,Walt Disney Pictures,Avengers: Infinity War,"$2,048,359,754.00 ",2018
Animation,7.8,118,3,PG,Pixar,Incredibles 2,"$1,242,785,241.00 ",2018
Action,6.2,129,4,PG-13,Universal Pictures,Jurassic World: Fallen Kingdom,"$1,309,484,461.00 ",2018
Action,7.8,119,5,R,20th Century Fox,Deadpool 2,"$784,890,395.00 ",2018
Action,7.9,147,6,PG-13,Paramount Pictures,Mission: Impossible - Fallout,"$791,115,104.00 ",2018
Action,7.2,118,7,PG-13,Walt Disney Pictures,Ant-Man and the Wasp,"$622,674,139.00 ",2018
Action,7,135,8,PG-13,Walt Disney Pictures,Solo: A Star Wars Story,"$392,924,807.00 ",2018
Action,6.9,112,9,PG-13,Columbia Pictures,Venom,"$855,013,954.00 ",2018
Music,8.1,135,10,R,Warner Bros,A Star is Born ,"$421,121,688.00 ",2018
Action,7.2,152,1,PG-13,Walt Disney Pictures,Star Wars: The Last Jedi,"$1,332,539,889.00 ",2017
Music,7.2,129,2,PG,Walt Disney Pictures,Beauty and the Beast ,"$1,263,521,126.00 ",2017
Action,7.5,141,3,PG-13,Warner Bros,Wonder Woman,"$821,847,012.00 ",2017
Action,7,112,4,PG-13,Sony Pictures,Jumanji: Welcome to the Jungle,"$962,126,927.00 ",2017
Action,7.7,137,5,PG-13,Walt Disney Pictures,Guardians of the Galaxy Vol. 2,"$863,756,051.00 ",2017
Action,7.5,133,6,PG-13,Sony Pictures,Spider-Man: Homecoming,"$880,166,924.00 ",2017
Horror,7.4,135,7,R,Warner Bros,It,"$700,381,748.00 ",2017
Action,7.9,130,8,PG-13,Walt Disney Pictures,Thor: Ragnarok,"$853,977,126.00 ",2017
Animation,6.3,90,9,PG,Universal Pictures,Despicable Me 3,"$1,034,799,409.00 ",2017
Action,6.5,110,10,PG-13,Warner Bros,Justice League,"$657,924,295.00 ",2017
Action,7.8,133,1,PG-13,Walt Disney Pictures,Rogue One: A Star Wars Story,"$1,056,057,273.00 ",2016
Animation,7.3,100,2,PG,Walt Disney Pictures,Finding Dory,"$1,028,570,889.00 ",2016
Action,7.8,146,3,PG-13,Walt Disney Pictures,Captain America: Civil War,"$1,153,304,495.00 ",2016
Animation,6.5,90,4,PG,Universal Pictures,The Secret Life of Pets,"$875,457,937.00 ",2016
Action,7.4,111,5,PG,Walt Disney Pictures,The Jungle Book ,"$966,550,600.00 ",2016
Action,8,103,6,R,20th Century Fox,Deadpool,"$783,112,979.00 ",2016
Animation,8,108,7,PG,Walt Disney Pictures,Zootopia,"$1,023,784,195.00 ",2016
Action,6.5,151,8,PG-13,Warner Bros,Batman v Superman: Dawn of Justice,"$873,634,919.00 ",2016
Action,6.1,123,9,PG-13,Warner Bros,Suicide Squad,"$746,846,894.00 ",2016
Animation,7.1,108,10,PG,Universal Pictures,Sing,"$634,151,679.00 ",2016
Action,8,136,1,PG-13,Walt Disney Pictures,Star Wars: The Force Awakens,"$2,068,223,624.00 ",2015
Action,7,123,2,PG-13,Universal Pictures,Jurassic World,"$1,671,713,208.00 ",2015
Action,7.4,141,3,PG-13,Walt Disney Pictures,Avengers: Age of Ultron,"$1,405,403,694.00 ",2015
Animation,8.2,94,4,PG,Pixar,Inside Out,"$857,611,174.00 ",2015
Action,7.2,140,5,PG-13,Universal Pictures,Furious 7,"$1,516,045,911.00 ",2015
Animation,6.4,91,6,PG,Universal Pictures,Minions,"$1,159,398,397.00 ",2015
Action,6.6,137,7,PG-13,Lionsgate Films,The Hunger Games: Mockingjay - Part 2,"$653,428,261.00 ",2015
Sci-Fi,8,164,8,PG-13,20th Century Fox,The Martian,"$630,161,890.00 ",2015
Romance,6.9,105,9,PG,Walt Disney Pictures,Cinderella,"$543,514,353.00 ",2015
Action,6.8,150,10,PG-13,Sony Pictures,Spectre,"$880,674,609.00 ",2015
Sci-Fi,5.8,165,1,PG-13,Paramount Pictures,Transformers: Age of Extinction,"$1,091,404,499.00 ",2014
Fantasy,7.5,144,2,PG-13,Warner Bros,The Hobbit: The Battle of the Five Armies,"$955,113,783.00 ",2014
Sci-Fi,8.1,121,3,PG-13,Walt Disney Pictures,Guardians of the Galaxy,"$774,176,600.00 ",2014
Fantasy,7.1,97,4,PG,Walt Disney Pictures,Maleficent,"$758,654,942.00 ",2014
Sci-Fi,6.8,123,5,PG-13,Lionsgate Films,The Hunger Games: Mockingjay - Part 1,"$752,100,229.00 ",2014
Sci-Fi,8.1,131,6,PG-13,20th Century Fox,X-Men: Days of Future Past,"$748,121,534.00 ",2014
Sci-Fi,7.8,136,7,PG-13,Walt Disney Pictures,Captain America: The Winter Soldier,"$714,766,572.00 ",2014
Fantasy,6.9,142,8,PG-13,Columbia Pictures,The Amazing Spider-Man 2,"$709,582,323.00 ",2014
Sci-Fi,7.7,130,9,PG-13,20th Century Fox,Dawn of the Planet of the Apes,"$708,835,589.00 ",2014
Sci-Fi,8.7,169,10,PG-13,Paramount Pictures,Interstellar,"$672,974,414.00 ",2014
Comedy,7.7,102,1,PG,Walt Disney Pictures,Frozen,"$1,274,219,009.00 ",2013
Sci-Fi,7.3,130,2,PG-13,Walt Disney Pictures,Iron Man 3,"$1,215,439,994.00 ",2013
Animation,7.5,98,3,PG,Universal Pictures,Despicable Me 2,"$970,761,885.00 ",2013
Fantasy,8,161,4,PG-13,Warner Bros,The Hobbit: The Desolation of Smaug,"$960,366,855.00 ",2013
Adventure,7.7,146,5,PG-13,Lionsgate Films,The Hunger Games: Catching Fire,"$864,912,963.00 ",2013
Thriller,7.2,130,6,PG-13,Universal Pictures,Fast & Furious 6,"$788,679,850.00 ",2013
Comedy,7.4,104,7,G,Walt Disney Pictures,Monsters University,"$743,559,607.00 ",2013
Thriller,7.9,91,8,PG-13,Warner Bros,Gravity,"$716,392,705.00 ",2013
Fantasy,7.2,143,9,PG-13,Warner Bros,Man of Steel,"$668,045,518.00 ",2013
Fantasy,7.1,112,10,PG-13,Walt Disney Pictures,Thor: The Dark World,"$644,783,140.00 ",2013
Sci-Fi,8.2,143,1,PG-13,Walt Disney Pictures,The Avengers,"$1,518,594,910.00 ",2012
Thriller,7.8,143,2,PG-13,Metro-Goldwyn-Mayer,Skyfall,"$1,108,561,013.00 ",2012
Thriller,8.5,165,3,PG-13,Warner Bros,The Dark Knight Rises,"$1,084,439,099.00 ",2012
Fantasy,8,169,4,PG-13,Warner Bros,The Hobbit: An Unexpected Journey,"$1,017,003,568.00 ",2012
Comedy,6.7,88,5,PG,20th Century Fox,Ice Age: Continental Drift,"$877,244,782.00 ",2012
Fantasy,5.6,115,6,PG-13,Lionsgate Films,The Twilight Saga: Breaking Dawn - Part 2,"$829,685,377.00 ",2012
Fantasy,7.1,136,7,PG-13,Columbia Pictures,The Amazing Spider-Man,"$757,930,663.00 ",2012
Comedy,7,93,8,PG,Paramount Pictures,Madagascar 3: Europe's Most Wanted,"$746,921,274.00 ",2012
Sci-Fi,7.3,142,9,PG-13,Lionsgate Films,The Hunger Games,"$691,247,768.00 ",2012
Sci-Fi,6.9,106,10,PG-13,Columbia Pictures,Men in Black 3,"$624,026,776.00 ",2012
Thriller,8.1,130,1,PG-13,Warner Bros,Harry Potter and the Deathly Hallows - Part 2,"$1,341,511,219.00 ",2011
