game_id,name,year_published,average_rating,users_rated,playing_time
1,Die Macher,1986,7.66508,4498,240
2,Dragonmaster,1981,6.60815,478,30
3,Samurai,1998,7.44119,12019,60
4,Tal der Könige,1992,6.60675,314,60
5,Acquire,1964,7.3583,15195,90
6,Mare Mediterraneum,1989,6.52534,73,240
7,Cathedral,1978,6.50534,2751,20
8,Lords of Creation,1993,6.14538,186,120
9,El Caballero,1998,6.51776,1263,90
10,Elfenland,1998,6.74996,6729,60
11,Bohnanza,1997,7.06751,28354,45
12,Ra,1999,7.47505,15378,60
13,Catan,1995,7.26569,67655,120
14,Basari,1998,6.78156,1476,25
15,Cosmic Encounter,1977,6.9347,3629,90
16,MarraCash,1996,6.84341,877,60
17,Button Men,1999,6.3087,724,5
18,RoboRally,1994,7.15355,19371,120
19,Wacky Wacky West,1991,6.31166,1459,45
20,Full Metal Planète,1988,7.43592,602,90
22,Magic Realm,1979,7.14384,1709,240
23,Divine Right,1979,6.95654,483,360
24,Twilight Imperium,1997,6.66812,667,240
25,Battlemist,1998,5.93231,308,200
26,Age of Renaissance,1996,7.0993,1944,360
27,Supremacy,1984,5.57724,1201,340
28,Illuminati:  Deluxe Edition,1987,6.5289,4274,180
29,Terrain Vague,1993,6.66639,61,120
30,Dark Tower,1981,6.6435,1052,90
31,Dark World,1992,5.18525,590,90
32,Bison,1975,6.04137,182,30
34,Arkham Horror,1987,6.56386,453,180
36,Federation & Empire,1986,6.23239,355,300
37,Dragon Masters,1991,5.69731,130,120
38,Runes,1981,6.06707,82,30
39,Darkover,1979,5.22865,96,60
40,Borderlands,1982,6.77517,254,120
41,Can't Stop,1980,6.85659,9095,30
42,Tigris & Euphrates,1997,7.72379,20166,90
43,Airlines,1990,6.61065,346,90
44,David & Goliath,1998,6.4529,1418,60
46,Medici,1995,7.1502,5702,60
47,Chinatown,1999,7.23234,5846,60
48,Krieg und Frieden,1999,6.13737,646,90
49,Mamma Mia!,1999,6.48827,4824,30
50,Lost Cities,1999,7.14784,26686,30
51,Ricochet Robots,1999,6.99357,6278,30
52,Mighty Empires,1990,6.08468,449,300
54,Tikal,1999,7.34313,13674,90
57,Schoko & Co.,1987,6.6678,371,180
58,Kings & Things,1986,6.53692,1477,120
59,Giganten,1999,6.75663,1294,90
60,Vinci,1999,7.13097,3712,90
61,Fossil,1998,5.41618,617,40
62,Curse of the Mummy's Tomb,1988,5.22768,298,120
63,Samurai,1979,6.38198,369,180
64,Joan of Arc,1998,6.26579,409,180
66,Löwenherz,1997,7.08413,2193,90
67,Conquest,1974,6.27156,333,120
68,Successors (second edition),1997,7.02629,439,180
70,Big City,1999,6.9039,2164,60
71,Civilization,1980,7.52258,6178,360
72,Verräter,1998,6.74051,1709,60
73,Show Manager,1996,7.06054,1474,60
74,Apples to Apples,1999,5.95458,14611,30
75,Falling,1998,5.49601,1264,5
76,Air Baron,1996,6.38664,716,120
77,EastFront,1991,7.6713,626,240
78,WestFront,1992,6.89085,177,240
82,Bobby Lee,1993,6.83287,297,240
83,Sam Grant,1997,6.43277,119,180
84,Rommel in the Desert,1982,7.54068,878,150
85,Quebec 1759,1972,6.93157,616,60
87,Victory:  The Blocks of War,1998,6.3167,402,180
88,Torres,1999,7.17624,6980,60
89,Blue vs. Gray,1999,6.76958,408,120
90,Star Wars: Episode 1 – Clash of the Lightsabers,1999,6.29314,531,20
91,Paths of Glory,1999,8.02578,3596,480
93,El Grande,1995,7.80446,18423,120
94,Union Pacific,1999,7.24855,3932,90
95,Igel Ärgern,1990,6.41002,960,30
96,Broadsides and Boarding Parties,1982,6.13295,495,60
97,Conquest of the Empire,1984,6.26548,906,180
98,Axis & Allies,1981,6.53855,8747,180
99,Fortress America,1986,6.6939,2144,180
101,Detroit-Cleveland Grand Prix,1996,6.7734,1023,60
102,Klunker,1999,6.20877,800,30
103,Titan,1980,6.96153,3570,240
104,Extrablatt,1991,7.04646,246,90
105,Colossal Arena,1997,6.79949,6292,60
106,Mystery Rummy: Jack the Ripper,1998,6.97858,2895,45
108,TAMSK,1998,6.78007,1234,20
