County,State,CountyFIPS,DiabetesRate,ObesityRate
Autauga County,Alabama,1001,11.4,32.7
Baldwin County,Alabama,1003,8.2,30.1
Barbour County,Alabama,1005,15.1,41.2
Bibb County,Alabama,1007,12.2,37.4
Blount County,Alabama,1009,12.2,32.5
Bullock County,Alabama,1011,27.9,46.4
Butler County,Alabama,1013,17,47.3
Calhoun County,Alabama,1015,15.2,39.7
Chambers County,Alabama,1017,15.6,42
Cherokee County,Alabama,1019,12,38.1
Chilton County,Alabama,1021,16.8,42.1
Choctaw County,Alabama,1023,13.9,46.7
Clarke County,Alabama,1025,22.5,36.1
Clay County,Alabama,1027,14.2,37.1
Cleburne County,Alabama,1029,12.1,34
Coffee County,Alabama,1031,13.9,36.6
Colbert County,Alabama,1033,14,36.5
Conecuh County,Alabama,1035,20.9,42.5
Coosa County,Alabama,1037,23.1,44.6
Covington County,Alabama,1039,13.5,35.9
Crenshaw County,Alabama,1041,18.2,35.1
Cullman County,Alabama,1043,13.3,35.6
Dale County,Alabama,1045,14.2,41.8
Dallas County,Alabama,1047,14.8,42.8
Dekalb County,Alabama,1049,14.3,30.3
Elmore County,Alabama,1051,13.9,34.9
Escambia County,Alabama,1053,17,36.4
Etowah County,Alabama,1055,14.8,35.9
Fayette County,Alabama,1057,17.9,37.8
Franklin County,Alabama,1059,12.8,36.6
Geneva County,Alabama,1061,17.1,41.5
Greene County,Alabama,1063,18,38
Hale County,Alabama,1065,15.2,45.5
Henry County,Alabama,1067,13.1,34.7
Houston County,Alabama,1069,14.4,38.5
Jackson County,Alabama,1071,13.3,35.3
Jefferson County,Alabama,1073,11.5,34.4
Lamar County,Alabama,1075,19.3,34.5
Lauderdale County,Alabama,1077,12.7,32.5
Lawrence County,Alabama,1079,20.5,32.5
Lee County,Alabama,1081,10.6,30.8
Limestone County,Alabama,1083,11.2,32.6
Lowndes County,Alabama,1085,14.2,43.4
Macon County,Alabama,1087,14.5,51
Madison County,Alabama,1089,11.9,33.5
Marengo County,Alabama,1091,15.5,45.2
Marion County,Alabama,1093,16.8,38.7
Marshall County,Alabama,1095,10,36.8
Mobile County,Alabama,1097,13.3,38
Monroe County,Alabama,1099,19.9,43
Montgomery County,Alabama,1101,15.2,37.1
Morgan County,Alabama,1103,10.4,35.2
Perry County,Alabama,1105,18,47
Pickens County,Alabama,1107,16.8,38.8
Pike County,Alabama,1109,14.2,38.6
Randolph County,Alabama,1111,15,33.5
Russell County,Alabama,1113,15.5,38.6
St. Clair County,Alabama,1115,12.8,36.6
Shelby County,Alabama,1117,9.4,37.5
Sumter County,Alabama,1119,16.2,43
Talladega County,Alabama,1121,14.6,38.8
Tallapoosa County,Alabama,1123,11.3,34.2
Tuscaloosa County,Alabama,1125,12.1,36.1
Walker County,Alabama,1127,13,39.8
Washington County,Alabama,1129,9.9,31.7
Wilcox County,Alabama,1131,15.9,50.3
Winston County,Alabama,1133,20,35.7
Aleutians East Borough,Alaska,2013,14.9,50.9
Aleutians West Census Area,Alaska,2016,8.2,41.5
Anchorage Municipality,Alaska,2020,8.6,30.1
Bethel Census Area,Alaska,2050,7.2,33.9
Bristol Bay Borough,Alaska,2060,16.1,41.8
Denali Borough,Alaska,2068,7.7,23
Dillingham Census Area,Alaska,2070,8.4,30.5
Fairbanks North Star Borough,Alaska,2090,7.9,31.1
Haines Borough,Alaska,2100,5.2,28.2
Hoonah-Angoon Census Area,Alaska,2105,11.7,29.8
Juneau City and Borough,Alaska,2110,5.6,26.1
Kenai Peninsula Borough,Alaska,2122,8.1,32.9
Ketchikan Gateway Borough,Alaska,2130,9.5,38.4
Kodiak Island Borough,Alaska,2150,6.8,28.1
Kusilvak Census Area,Alaska,2158,5.4,23
Lake and Peninsula Borough,Alaska,2164,11.6,37.1
Matanuska-Susitna Borough,Alaska,2170,8.6,34.3
Nome Census Area,Alaska,2180,7.2,40.2
North Slope Borough,Alaska,2185,5.8,43.4
Northwest Arctic Borough,Alaska,2188,15.7,44.9
Petersburg Census Area,Alaska,2195,7.1,25.1
Prince of Wales-Hyder Censu,Alaska,2198,10.1,39.6
Sitka City and Borough,Alaska,2220,5.8,25.5
Skagway Municipality,Alaska,2230,4.4,25.8
Southeast Fairbanks Census Area,Alaska,2240,9.3,32.3
Valdez-Cordova Census Area,Alaska,2261,6.3,33.5
Wrangell City and Borough,Alaska,2275,16,35.8
Yakutat City and Borough,Alaska,2282,7.9,37.1
Yukon-Koyukuk Census Area,Alaska,2290,8.4,30.8
Apache County,Arizona,4001,14.7,36
Cochise County,Arizona,4003,8.3,31.4
Coconino County,Arizona,4005,7.8,24.5
Gila County,Arizona,4007,10.8,33.1
Graham County,Arizona,4009,11.5,34.1
Greenlee County,Arizona,4011,11.1,30
La Paz County,Arizona,4012,13,34.3
Maricopa County,Arizona,4013,8,27
Mohave County,Arizona,4015,10.2,31.3
Navajo County,Arizona,4017,13.2,33.8
Pima County,Arizona,4019,7.6,25.7
Pinal County,Arizona,4021,11.9,35
Santa Cruz County,Arizona,4023,7.7,30.1
Yavapai County,Arizona,4025,7.6,24.7
Yuma County,Arizona,4027,10.6,38.4
Arkansas County,Arkansas,5001,16.4,35.1
Ashley County,Arkansas,5003,10.8,42.2
Baxter County,Arkansas,5005,11.9,31.4
Benton County,Arkansas,5007,9.1,31
Boone County,Arkansas,5009,8.7,29.1
Bradley County,Arkansas,5011,16.3,31.4
Calhoun County,Arkansas,5013,7.5,25.9
Carroll County,Arkansas,5015,6.5,29.4
Chicot County,Arkansas,5017,7,40.3
Clark County,Arkansas,5019,13.5,26.5
Clay County,Arkansas,5021,7.4,38
Cleburne County,Arkansas,5023,9.1,34.2
Cleveland County,Arkansas,5025,13.3,38.7
Columbia County,Arkansas,5027,17.2,43.7
Conway County,Arkansas,5029,15,39.7
Craighead County,Arkansas,5031,13.4,39.5
Crawford County,Arkansas,5033,12.3,39.1
Crittenden County,Arkansas,5035,15.3,36.9
Cross County,Arkansas,5037,17.1,41.9
Dallas County,Arkansas,5039,14.5,40.1
Desha County,Arkansas,5041,7.4,47.1
Drew County,Arkansas,5043,16,34.7
Faulkner County,Arkansas,5045,10.5,36.5
Franklin County,Arkansas,5047,12.6,42.3
Fulton County,Arkansas,5049,9.7,32.3
Garland County,Arkansas,5051,13.7,29.1
Grant County,Arkansas,5053,15.3,34.3
Greene County,Arkansas,5055,13.6,38.1
Hempstead County,Arkansas,5057,19.2,31.5
Hot Spring County,Arkansas,5059,13.5,35
Howard County,Arkansas,5061,7.7,42.4
Independence County,Arkansas,5063,9.8,29.7
Izard County,Arkansas,5065,13.2,32.7
Jackson County,Arkansas,5067,28.7,38.9
Jefferson County,Arkansas,5069,12.8,42.8
Johnson County,Arkansas,5071,11.4,40.9
Lafayette County,Arkansas,5073,15.7,46.1
Lawrence County,Arkansas,5075,9.5,38
Lee County,Arkansas,5077,12.6,40.5
Lincoln County,Arkansas,5079,14.2,44.5
Little River County,Arkansas,5081,19.2,33.4
Logan County,Arkansas,5083,13.8,30.2
Lonoke County,Arkansas,5085,13.6,40.9
Madison County,Arkansas,5087,10,30.8
Marion County,Arkansas,5089,9.8,26.8
Miller County,Arkansas,5091,10.8,39
Mississippi County,Arkansas,5093,16.9,42.9
Monroe County,Arkansas,5095,15.8,43
Montgomery County,Arkansas,5097,6.2,24.9
Nevada County,Arkansas,5099,12.3,43
Newton County,Arkansas,5101,8.6,39.8
Ouachita County,Arkansas,5103,15.9,40.9
Perry County,Arkansas,5105,9.9,36.5
Phillips County,Arkansas,5107,17.8,44.9
Pike County,Arkansas,5109,14.7,29.2
Poinsett County,Arkansas,5111,19.7,41.1
Polk County,Arkansas,5113,11.3,36.1
Pope County,Arkansas,5115,13.6,35
Prairie County,Arkansas,5117,10.4,36
Pulaski County,Arkansas,5119,11.2,33.9
Randolph County,Arkansas,5121,14.2,33.5
St. Francis County,Arkansas,5123,14.2,48.4
Saline County,Arkansas,5125,9.2,30.2
Scott County,Arkansas,5127,14.2,37.6
Searcy County,Arkansas,5129,14.6,25.7
Sebastian County,Arkansas,5131,13.3,34.8
Sevier County,Arkansas,5133,13.6,32.4
Sharp County,Arkansas,5135,19.2,41.3
Stone County,Arkansas,5137,10.6,41
Union County,Arkansas,5139,11.2,34.7
Van Buren County,Arkansas,5141,13.4,37.7
Washington County,Arkansas,5143,9.8,32
White County,Arkansas,5145,16.1,33
Woodruff County,Arkansas,5147,25.3,33
Yell County,Arkansas,5149,11.5,36.9
Alameda County,California,6001,6.7,22
Alpine County,California,6003,4.6,16.8
Amador County,California,6005,14.2,29.8
Butte County,California,6007,9.3,30.3
Calaveras County,California,6009,7.4,28.1
Colusa County,California,6011,14.7,38.8
Contra Costa County,California,6013,7.5,24.9
Del Norte County,California,6015,15.8,33.9
El Dorado County,California,6017,5.9,25.2
Fresno County,California,6019,9.6,33
Glenn County,California,6021,10.1,34.1
Humboldt County,California,6023,8.8,24.8
Imperial County,California,6025,8.9,32.8
Inyo County,California,6027,9,27.1
Kern County,California,6029,9.9,31.1
Kings County,California,6031,13.5,34
Lake County,California,6033,7.9,22.7
Lassen County,California,6035,14.5,32.8
Los Angeles County,California,6037,8.4,21.8
Madera County,California,6039,11.5,36.7
Marin County,California,6041,6.3,17.5
Mariposa County,California,6043,5.3,16.1
Mendocino County,California,6045,8.4,30.5
Merced County,California,6047,13,33.4
Modoc County,California,6049,8.3,26.1
Mono County,California,6051,10,28.2
