Year,Month,Decimal Date,String Date,Carbon Dioxide (ppm),Seasonally Adjusted CO2 (ppm),Carbon Dioxide Fit (ppm),Seasonally Adjusted CO2 Fit (ppm)
2008,1,2008.041,2008-1-1,385.07,385.05,384.62,384.58
2008,2,2008.1257,2008-2-1,385.84,385.13,385.45,384.72
2008,3,2008.2049,2008-3-1,385.83,384.29,386.43,384.86
2008,4,2008.2896,2008-4-1,386.77,384,387.8,385.01
2008,5,2008.3716,2008-5-1,388.51,385.21,388.47,385.17
2008,6,2008.4563,2008-6-1,388.05,385.57,387.8,385.34
2008,7,2008.5383,2008-7-1,386.25,385.46,386.26,385.51
2008,8,2008.623,2008-8-1,384.08,385.59,384.13,385.68
2008,9,2008.7077,2008-9-1,383.09,386.5,382.42,385.85
2008,10,2008.7896,2008-10-1,382.78,386.31,382.49,386.01
2008,11,2008.8743,2008-11-1,384.01,386.23,383.96,386.16
2008,12,2008.9563,2008-12-1,385.11,386.03,385.41,386.31
2009,1,2009.0411,2009-1-1,386.65,386.63,386.5,386.46
2009,2,2009.126,2009-2-1,387.12,386.4,387.35,386.62
2009,3,2009.2027,2009-3-1,388.51,386.99,388.3,386.76
2009,4,2009.2877,2009-4-1,389.57,386.81,389.7,386.92
2009,5,2009.3699,2009-5-1,390.16,386.85,390.4,387.09
2009,6,2009.4548,2009-6-1,389.62,387.1,389.76,387.27
2009,7,2009.537,2009-7-1,388.07,387.24,388.25,387.46
2009,8,2009.6219,2009-8-1,386.08,387.57,386.14,387.66
2009,9,2009.7068,2009-9-1,384.65,388.07,384.44,387.87
2009,10,2009.789,2009-10-1,384.33,387.88,384.55,388.09
2009,11,2009.874,2009-11-1,386.05,388.28,386.1,388.31
2009,12,2009.9562,2009-12-1,387.49,388.41,387.63,388.53
2010,1,2010.0411,2010-1-1,388.55,388.53,388.8,388.76
2010,2,2010.126,2010-2-1,390.07,389.35,389.72,388.98
2010,3,2010.2027,2010-3-1,391.01,389.48,390.73,389.18
2010,4,2010.2877,2010-4-1,392.38,389.62,392.17,389.39
2010,5,2010.3699,2010-5-1,393.22,389.89,392.9,389.58
2010,6,2010.4548,2010-6-1,392.24,389.71,392.26,389.76
2010,7,2010.537,2010-7-1,390.33,389.51,390.73,389.94
2010,8,2010.6219,2010-8-1,388.52,390.01,388.58,390.11
2010,9,2010.7068,2010-9-1,386.84,390.26,386.83,390.28
2010,10,2010.789,2010-10-1,387.16,390.72,386.89,390.43
2010,11,2010.874,2010-11-1,388.67,390.91,388.36,390.58
2010,12,2010.9562,2010-12-1,389.81,390.74,389.8,390.71
2011,1,2011.0411,2011-1-1,391.3,391.27,390.88,390.84
2011,2,2011.126,2011-2-1,391.92,391.2,391.71,390.97
2011,3,2011.2027,2011-3-1,392.45,390.92,392.64,391.08
2011,4,2011.2877,2011-4-1,393.37,390.6,394.01,391.22
2011,5,2011.3699,2011-5-1,394.28,390.95,394.69,391.36
2011,6,2011.4548,2011-6-1,393.69,391.16,394.02,391.52
2011,7,2011.537,2011-7-1,392.6,391.77,392.48,391.68
2011,8,2011.6219,2011-8-1,390.21,391.7,390.33,391.86
2011,9,2011.7068,2011-9-1,389,392.44,388.59,392.04
2011,10,2011.789,2011-10-1,388.93,392.5,388.67,392.22
2011,11,2011.874,2011-11-1,390.24,392.49,390.18,392.41
2011,12,2011.9562,2011-12-1,391.8,392.73,391.67,392.58
2012,1,2012.041,2012-1-1,393.07,393.05,392.8,392.76
2012,2,2012.1257,2012-2-1,393.35,392.63,393.69,392.95
2012,3,2012.2049,2012-3-1,394.36,392.79,394.72,393.13
2012,4,2012.2896,2012-4-1,396.43,393.62,396.15,393.33
2012,5,2012.3716,2012-5-1,396.87,393.52,396.87,393.53
2012,6,2012.4563,2012-6-1,395.88,393.36,396.24,393.75
2012,7,2012.5383,2012-7-1,394.52,393.72,394.73,393.97
2012,8,2012.623,2012-8-1,392.54,394.06,392.64,394.2
2012,9,2012.7077,2012-9-1,391.13,394.58,390.97,394.45
2012,10,2012.7896,2012-10-1,391.01,394.59,391.13,394.69
2012,11,2012.8743,2012-11-1,392.95,395.2,392.71,394.93
2012,12,2012.9563,2012-12-1,394.34,395.27,394.25,395.16
2013,1,2013.0411,2013-1-1,395.61,395.58,395.43,395.4
2013,2,2013.126,2013-2-1,396.85,396.12,396.36,395.62
2013,3,2013.2027,2013-3-1,397.26,395.71,397.38,395.82
2013,4,2013.2877,2013-4-1,398.35,395.56,398.84,396.03
2013,5,2013.3699,2013-5-1,399.98,396.62,399.59,396.23
2013,6,2013.4548,2013-6-1,398.87,396.32,398.96,396.44
2013,7,2013.537,2013-7-1,397.37,396.54,397.43,396.63
2013,8,2013.6219,2013-8-1,395.41,396.91,395.28,396.82
2013,9,2013.7068,2013-9-1,393.39,396.85,393.54,397.01
2013,10,2013.789,2013-10-1,393.7,397.29,393.62,397.19
2013,11,2013.874,2013-11-1,395.19,397.46,395.13,397.37
2013,12,2013.9562,2013-12-1,396.82,397.76,396.62,397.54
2014,1,2014.0411,2014-1-1,397.93,397.9,397.75,397.71
2014,2,2014.126,2014-2-1,398.1,397.37,398.62,397.88
2014,3,2014.2027,2014-3-1,399.47,397.92,399.6,398.03
2014,4,2014.2877,2014-4-1,401.33,398.53,401.01,398.19
2014,5,2014.3699,2014-5-1,401.88,398.51,401.72,398.35
2014,6,2014.4548,2014-6-1,401.31,398.75,401.04,398.51
2014,7,2014.537,2014-7-1,399.07,398.23,399.47,398.67
2014,8,2014.6219,2014-8-1,397.21,398.72,397.29,398.83
2014,9,2014.7068,2014-9-1,395.4,398.87,395.51,399
2014,10,2014.789,2014-10-1,395.65,399.25,395.58,399.17
2014,11,2014.874,2014-11-1,397.22,399.5,397.1,399.34
2014,12,2014.9562,2014-12-1,398.79,399.73,398.6,399.52
2015,1,2015.0411,2015-1-1,399.85,399.83,399.73,399.7
2015,2,2015.126,2015-2-1,400.31,399.57,400.63,399.89
2015,3,2015.2027,2015-3-1,401.51,399.96,401.64,400.06
2015,4,2015.2877,2015-4-1,403.45,400.64,403.1,400.27
2015,5,2015.3699,2015-5-1,404.11,400.73,403.86,400.48
2015,6,2015.4548,2015-6-1,402.88,400.31,403.25,400.71
2015,7,2015.537,2015-7-1,401.6,400.76,401.76,400.96
2015,8,2015.6219,2015-8-1,399,400.51,399.68,401.23
2015,9,2015.7068,2015-9-1,397.5,400.98,398.03,401.53
2015,10,2015.789,2015-10-1,398.28,401.9,398.23,401.83
2015,11,2015.874,2015-11-1,400.24,402.52,399.9,402.16
2015,12,2015.9562,2015-12-1,401.89,402.83,401.54,402.47
2016,1,2016.041,2016-1-1,402.65,402.62,402.82,402.78
2016,2,2016.1257,2016-2-1,404.16,403.42,403.84,403.09
2016,3,2016.2049,2016-3-1,404.86,403.27,404.98,403.37
2016,4,2016.2896,2016-4-1,407.57,404.73,406.51,403.64
2016,5,2016.3716,2016-5-1,407.65,404.26,407.28,403.89
2016,6,2016.4563,2016-6-1,407,404.46,406.66,404.14
2016,7,2016.5383,2016-7-1,404.5,403.69,405.14,404.37
2016,8,2016.623,2016-8-1,402.24,403.78,403.02,404.6
2016,9,2016.7077,2016-9-1,401.01,404.52,401.33,404.85
2016,10,2016.7896,2016-10-1,401.5,405.12,401.48,405.09
2016,11,2016.8743,2016-11-1,403.64,405.92,403.08,405.34
2016,12,2016.9563,2016-12-1,404.55,405.49,404.66,405.58
