name,x,y,z,fruit,dog,date,moon,temp,alfa,bravo,charlie,delta,echo,passfail
P1,10,8,9,apple,terrier,1/21/19,full,warm,11.4,8.8,27,103.1,1677.4,pass
P2,8,7,8,pear,herding,1/22/19,gibbous,cold,6.8,6.6,23,173.2,1340.9,pass
P3,13,7,8.6,tomato,terrier,1/23/19,gibbous,hot,13.4,5.8,28.6,136.5,2030.6,pass
P4,9,9,8.7,orange,hound,1/24/19,gibbous,cold,8.6,8.3,26.7,159.6,1741.2,pass
P5,11,8,9,cucumber,herding,1/25/19,gibbous,warm,11,9.1,28,209.2,872.2,pass
P6,14,10,8,yuzu,toy,1/26/19,gibbous,cold,14,9.1,32,95,1036.2,pass
P7,6,7,6,cherry,toy,1/27/19,quarter,freezing,6.2,6.9,19,155.4,1885.7,pass
P8,4,4,3,marionberry,hound,1/28/19,crescent,cold,4.3,3.7,11,134.5,1221.9,pass
P9,12,11,9,peach,terrier,1/29/19,crescent,freezing,11.8,11.2,32,84.4,1307,pass
P10,7,5,7,lemon,hound,1/30/19,crescent,cold,7.7,4.2,19,120.9,1830.8,pass
P11,5,6,5,lime,hound,1/31/19,crescent,warm,3.6,5.4,16,165.4,1857.1,fail
