name,latitude,longitude
Chalupas,21.90384,-159.46431
Burger King,21.97223878,-159.3789154
Taco Bell,21.972651,-159.378127
McDonald's,21.977983,-159.36868
Panda Express,21.981619,-159.36826
The Greenery Cafe,21.97821,-159.3671
Greenery Cafe,21.9782,-159.367
Keoki's,21.96665,-159.35655
11-Jul,21.99490378,-159.3537122
Kalapaki Beach Hut,21.96089,-159.35275
Pizza Hut,22.0489,-159.335
McDonald's,21.447907,-158.188882
McDonald's,21.44788,-158.18886
Spaghettini,21.58797,-158.10289
Taco del Mar,21.32894,-158.08698
Burger King,21.33777,-158.078537
Kfc,21.35768,-158.06044
McDonald's,21.39113,-158.03459
Jack in the Box,21.495768,-158.029796
Zippy's,21.49725,-158.02977
Maui Mike's,21.49463,-158.02916
Popeyes Louisiana Kitchen,21.37707,-158.025894
Jersey Mike's Subs,21.45311,-158.01738
Baskin Robbins,21.398203,-158.01242
Loco Moco Drive-Inn,21.398203,-158.01242
Restaurant Kunio,21.398203,-158.01242
KFC,21.3999,-158.0091
McDonald's of Mililani Mauka,21.4677,-158.00181
Subway,21.427263,-158.00114
Panda Express,21.399702,-157.97355
Wendy's,21.408394,-157.96516
Famous Kahuku Shrimp Truck,21.67746,-157.951
Taco Bell,21.659513,-157.93938
I Love Country Cafe,21.34892,-157.93266
McDonald's,21.34892,-157.93266
Arby's,21.349177,-157.930853
McDonald's,21.365402,-157.930782
McDonald's,21.356825,-157.929643
McDonald's,21.343303,-157.92833
Baskin-Robbins,21.35637,-157.92708
Jack in the Box,21.353172,-157.92693
McDonald's,21.344876,-157.913685
Dominos Pizza,21.335938,-157.90996
Jack in the Box,21.334482,-157.880676
Chun Wah Kam Noodle Factory,21.325972,-157.880116
Papa John’s Pizza,21.34877,-157.87595
SUBWAY,21.34877,-157.87595
McDonald's,21.324619,-157.875797
Jack in the Box,21.341379,-157.874748
Yellow Cab Pizza Co.,21.31804,-157.8695
McDonalds,21.335297,-157.868473
Jack in the Box,21.31813,-157.86565
SUBWAY,21.329453,-157.86147
Megs Drive In,21.329453,-157.86147
Yanagi Sushi,21.317905,-157.85207
La Taqueria De Ramiro,21.317905,-157.85207
Burger King,21.302963,-157.8462
Jack in the Box,21.299934,-157.844258
I Love Country Cafe,21.290771,-157.844081
McDonald's,21.291676,-157.84395
McDonald's - CLOSED,21.2917,-157.8439
Panda Express,21.291141,-157.843893
Panda Express,21.299847,-157.84387
Jack in the Box,21.299847,-157.84387
Sbarro,21.299847,-157.84387
Taco Bell,21.3011,-157.84288
Pizza Hut,21.3056,-157.8387
Dairy Queen Orange Julius,21.282031,-157.838685
McDonald's,21.28544,-157.83841
Subway,21.290615,-157.837689
Round Table Pizza,21.2824,-157.8367
Tropics Bar & Grill,21.2849,-157.8357
Round Table Pizza,21.278965,-157.831137
Jack in the Box,21.29529,-157.830233
Waipuna Sushi,21.311705,-157.82982
Domino's Pizza,21.29414,-157.82838
McDonald's,21.2939,-157.8282
Sbarro,21.281084,-157.82661
Orange Julius,21.281084,-157.82661
Teddy's Bigger Burgers,21.29461,-157.8243
Cheeseburger In Paradise,21.2737,-157.8238
Me's Bar-B-Que,21.276192,-157.8237
Subway,21.292393,-157.82361
Burger King,21.293028,-157.822596
Teddy's Bigger Burgers,21.2719,-157.82187
Pizza Hut,21.28133,-157.81433
South Shore Grill,21.2692,-157.8128
Teddy's Bigger Burgers,21.42282,-157.81154
Panda Express,21.42282,-157.81154
Subway,21.28805,-157.80946
McDonald's,21.286874,-157.80655
Pizza Hut,21.417356,-157.80193
SUBWAY,21.288677,-157.80063
Dominos Pizza,21.288677,-157.80063
SUBWAY,21.288677,-157.80063
Subway,21.282394,-157.800257
Panda Express,21.2773,-157.7859
McDonald's,21.4425,-157.7449
Jack in the Box,21.396296,-157.744881
L & L Drive-inn,21.406261,-157.74478
Quiznos,21.406261,-157.74478
L&l Hawaiian Barbecue,21.37796413,-157.7291938
Jack in the Box,21.348187,-157.721513
Teddy's Bigger Burgers,21.2774,-157.7046
Subway,21.3051,-157.6792
Orange Julius,20.8857,-156.683
Dairy Queen,20.883839,-156.681999
McDonald's,20.8778,-156.6793
Mr Sub Sandwiches,20.87569,-156.67921
Maui Tacos,20.877234,-156.678607
Lahaina Pizza Company,20.8741,-156.6785
Sunrise Cafe,20.87315,-156.67818
SUBWAY,20.917433,-156.67715
McDonald's,20.896585,-156.50362
Fatt Chicks Burgers,20.896585,-156.50362
Subway,20.8879,-156.5008
Jack in the Box,20.902179,-156.482972
Cupie's Drive-In,20.8874,-156.4698
Burger King,20.890852,-156.467144
