nation,date,Region,Total Population,GDP/Person (PPP$),Life Expectancy
Canada,2010,America,"34,016,593",35219.34297,80.986
Fiji,2010,East Asia & Pacific,"860,623",4074.620261,69.258
Turkmenistan,2010,Europe & Central Asia,"5,041,995",6427.023204,65
Serbia and Montenegro,2010,Europe & Central Asia,,,
Lithuania,2010,Europe & Central Asia,"3,323,611",15408.12507,71.631
Cambodia,2010,East Asia & Pacific,"14,138,255",1858.477823,70.811
Ethiopia,2010,Sub-Saharan Africa,"82,949,541",871.8371156,61.486
"Yemen, Rep.",2010,Middle East & North Africa,"24,052,514",2418.761076,62.536
Swaziland,2010,Sub-Saharan Africa,"1,186,056",5163.288425,48.398
Argentina,2010,America,"40,412,376",14486.6366,75.772
Bolivia,2010,America,"9,929,849",4095.214842,66.362
Cameroon,2010,Sub-Saharan Africa,"19,598,889",2017.815915,53.718
Burkina Faso,2010,Sub-Saharan Africa,"16,468,714",1277.686645,55.081
Bahrain,2010,Middle East & North Africa,"1,261,835",24012.80725,76.203
Saudi Arabia,2010,Middle East & North Africa,"27,448,086",23841.28888,74.832
Cape Verde,2010,Sub-Saharan Africa,"495,999",3655.839336,74.094
Slovenia,2010,Europe & Central Asia,"2,029,680",24515.9774,79.125
Guatemala,2010,America,"14,388,929",5181.687337,71.1
Bosnia and Herzegovina,2010,Europe & Central Asia,"3,760,149",7596.007881,75.898
Kuwait,2010,Middle East & North Africa,"2,736,732",39766.96425,73.992
Jordan,2010,Middle East & North Africa,"6,187,227",5201.959287,73.39
"Congo, Rep.",2010,Sub-Saharan Africa,"4,042,899",4049.163661,57.229
Spain,2010,Europe & Central Asia,"46,076,989",26779.63704,81.656
Liberia,2010,Sub-Saharan Africa,"3,994,122",450.1173633,59.459
Netherlands,2010,Europe & Central Asia,"16,612,988",36526.12179,80.621
Paraguay,2010,America,"6,454,548",4508.385932,72.016
Pakistan,2010,South Asia,"173,593,383",2614.772162,66.11
Oman,2010,Middle East & North Africa,"2,782,435",29371.91689,75.721
Tanzania,2010,Sub-Saharan Africa,"44,841,226",1229.299421,59.224
Martinique,2010,America,"405,814",,80.71
West Bank and Gaza,2010,Middle East & North Africa,"4,039,192",3934.957429,72.64
Gabon,2010,Sub-Saharan Africa,"1,505,463",12542.54603,62.333
New Zealand,2010,East Asia & Pacific,"4,368,136",24607.28417,80.67
Jamaica,2010,America,"2,741,052",6892.469439,72.897
Albania,2010,Europe & Central Asia,"3,204,284",6746.445312,76.78
Slovak Republic,2010,Europe & Central Asia,"5,462,119",19794.74169,75.02
Australia,2010,East Asia & Pacific,"22,268,384",34884.76376,82.091
Uruguay,2010,America,"3,368,786",12097.77465,76.787
India,2010,South Asia,"1,224,614,327",2961.17336,65.65
Azerbaijan,2010,Europe & Central Asia,"9,187,783",9325.554448,70.518
