nation,date,Region,Total Population,GDP/Person (PPP$),Life Expectancy (y),Log(Total Population),Log(GDP/Person [PPP$])
Canada,1800,America,"645,526",1159.502927,39,5.809913739,3.064271849
Canada,1810,America,,,,,
Canada,1820,America,"816,000",1312.466239,,5.911690159,3.118088141
Canada,1830,America,"1,169,000",1451.182183,,6.067814511,3.161721938
Canada,1840,America,"1,697,000",1686.347239,,6.229681842,3.226947006
Canada,1850,America,"2,485,000",1929.459127,,6.395326393,3.285435583
Canada,1860,America,"3,369,000",2105.054119,,6.527501011,3.323263266
Canada,1870,America,"3,781,000",2459.064862,,6.577606677,3.390769984
Canada,1880,America,"4,384,000",2635.182659,,6.641870545,3.420810724
Canada,1890,America,"4,918,000",3451.458891,,6.691788524,3.538002705
Canada,1900,America,"5,457,000",4224.77773,,6.736953954,3.625803865
Canada,1910,America,"7,188,000",5900.160312,,6.856608068,3.770863812
Canada,1920,America,"8,798,000",5603.705524,,6.944383958,3.748475305
Canada,1930,America,"10,488,000",6981.063538,58.95,7.020692679,3.843921591
Canada,1940,America,"11,688,000",7790.302047,64.01,7.067740203,3.891554297
Canada,1950,America,"13,736,997",10581.26552,68.28,7.137891803,4.024537612
Canada,1960,America,"17,909,009",12701.48312,71.04,7.253071555,4.103854435
Canada,1970,America,"21,716,855",17487.45713,72.65,7.336796932,4.242726663
Canada,1980,America,"24,516,277",23473.89691,75.14,7.38945452,4.370585193
Canada,1990,America,"27,700,854",27387.27394,77.51,7.442493158,4.437548806
Canada,2000,America,"30,667,365",32448.60764,79.41,7.486676462,4.511196066
Canada,2010,America,"34,016,593",35219.34297,80.986,7.531690814,4.54678125
Fiji,1800,East Asia & Pacific,"130,533",472.1176084,26.1,5.115720319,2.674050198
Fiji,1810,East Asia & Pacific,,,,,
Fiji,1820,East Asia & Pacific,,472.1176084,,,2.674050198
Fiji,1830,East Asia & Pacific,,,,,
Fiji,1840,East Asia & Pacific,,,,,
Fiji,1850,East Asia & Pacific,"137,000",,,5.136720567,
Fiji,1860,East Asia & Pacific,,,,,
Fiji,1870,East Asia & Pacific,,,,,
Fiji,1880,East Asia & Pacific,,,,,
Fiji,1890,East Asia & Pacific,,,,,
Fiji,1900,East Asia & Pacific,"120,000",,,5.079181246,
Fiji,1910,East Asia & Pacific,,,,,
Fiji,1920,East Asia & Pacific,,,,,
Fiji,1930,East Asia & Pacific,,,,,
Fiji,1940,East Asia & Pacific,,,,,
Fiji,1950,East Asia & Pacific,"288,993",,51.109,5.460887323,
Fiji,1960,East Asia & Pacific,"393,366",2036.450326,55.86,5.59479682,3.308873821
Fiji,1970,East Asia & Pacific,"520,555",2538.955129,59.857,5.716466622,3.404655026
Fiji,1980,East Asia & Pacific,"635,297",3374.556759,62.978,5.802976805,3.528216737
Fiji,1990,East Asia & Pacific,"728,390",,65.51,5.862363975,
Fiji,2000,East Asia & Pacific,"811,718",3856.316679,67.553,5.909405177,3.586172691
Fiji,2010,East Asia & Pacific,"860,623",4074.620261,69.258,5.934812948,3.61008714
Turkmenistan,1800,Europe & Central Asia,"367,215",633.5351809,34.1,5.564920413,2.801770737
Turkmenistan,1810,Europe & Central Asia,,,,,
Turkmenistan,1820,Europe & Central Asia,"367,215",646.8766127,,5.564920413,2.81082145
Turkmenistan,1830,Europe & Central Asia,,,,,
Turkmenistan,1840,Europe & Central Asia,,,,,
Turkmenistan,1850,Europe & Central Asia,,,,,
Turkmenistan,1860,Europe & Central Asia,,,,,
Turkmenistan,1870,Europe & Central Asia,,,,,
Turkmenistan,1880,Europe & Central Asia,,,,,
Turkmenistan,1890,Europe & Central Asia,,976.3739074,,,2.989616165
Turkmenistan,1900,Europe & Central Asia,,1347.557376,34.6,,3.129547266
Turkmenistan,1910,Europe & Central Asia,,1519.700434,,,3.181757987
Turkmenistan,1920,Europe & Central Asia,,647.9175448,,,2.81151974
Turkmenistan,1930,Europe & Central Asia,,1632.504639,39.8,,3.212854424
Turkmenistan,1940,Europe & Central Asia,,2416.085085,,,3.383112224
Turkmenistan,1950,Europe & Central Asia,"1,211,000",3202.577795,50.426,6.083144143,3.505499688
Turkmenistan,1960,Europe & Central Asia,"1,593,501",4446.748846,54.464,6.20235234,3.648042601
Turkmenistan,1970,Europe & Central Asia,"2,188,499",6283.536194,58.468,6.340146353,3.798204121
Turkmenistan,1980,Europe & Central Asia,"2,861,000",6106.698741,60.995,6.456517858,3.785806496
Turkmenistan,1990,Europe & Central Asia,"3,668,000",5132.075826,62.773,6.564429327,3.710293064
Turkmenistan,2000,Europe & Central Asia,"4,501,419",3289.742427,63.925,6.65334944,3.517161896
Turkmenistan,2010,Europe & Central Asia,"5,041,995",6427.023204,65,6.702602411,3.808009868
Serbia and Montenegro,1800,Europe & Central Asia,"2,273,780",,,6.356748442,
Serbia and Montenegro,1810,Europe & Central Asia,,,,,
Serbia and Montenegro,1820,Europe & Central Asia,"2,273,780",,,6.356748442,
Serbia and Montenegro,1830,Europe & Central Asia,,,,,
Serbia and Montenegro,1840,Europe & Central Asia,,,,,
Serbia and Montenegro,1850,Europe & Central Asia,,,,,
Serbia and Montenegro,1860,Europe & Central Asia,,,,,
Serbia and Montenegro,1870,Europe & Central Asia,,,,,
Serbia and Montenegro,1880,Europe & Central Asia,,,,,
Serbia and Montenegro,1890,Europe & Central Asia,,,,,
Serbia and Montenegro,1900,Europe & Central Asia,,,,,
Serbia and Montenegro,1910,Europe & Central Asia,,,,,
Serbia and Montenegro,1920,Europe & Central Asia,,,,,
Serbia and Montenegro,1930,Europe & Central Asia,,,,,
Serbia and Montenegro,1940,Europe & Central Asia,,,,,
Serbia and Montenegro,1950,Europe & Central Asia,"7,105,848",,,6.851615913,
Serbia and Montenegro,1960,Europe & Central Asia,"7,932,423",,,6.899405865,
Serbia and Montenegro,1970,Europe & Central Asia,"8,681,198",,,6.938579662,
Serbia and Montenegro,1980,Europe & Central Asia,"9,515,000",,,6.978408793,
Serbia and Montenegro,1990,Europe & Central Asia,"9,935,057",,,6.997170363,
Serbia and Montenegro,2000,Europe & Central Asia,"10,850,210",,,7.035438144,
Serbia and Montenegro,2010,Europe & Central Asia,,,,,
Lithuania,1800,Europe & Central Asia,"778,655",1059.485594,28.9,5.891345077,3.025095056
Lithuania,1810,Europe & Central Asia,,,,,
Lithuania,1820,Europe & Central Asia,"778,655",1081.796991,,5.891345077,3.034145769
Lithuania,1830,Europe & Central Asia,,,,,
Lithuania,1840,Europe & Central Asia,,,,,
Lithuania,1850,Europe & Central Asia,,,,,
Lithuania,1860,Europe & Central Asia,,,,,
Lithuania,1870,Europe & Central Asia,,,28.9,,
Lithuania,1880,Europe & Central Asia,,,,,
Lithuania,1890,Europe & Central Asia,,1632.828169,,,3.212940484
Lithuania,1900,Europe & Central Asia,,2253.572762,41.7,,3.352871585
Lithuania,1910,Europe & Central Asia,,2541.454313,,,3.405082307
Lithuania,1920,Europe & Central Asia,,1956.299168,,,3.29143527
Lithuania,1930,Europe & Central Asia,,3374.475646,,,3.528206298
Lithuania,1940,Europe & Central Asia,,4076.78398,,,3.6103177
Lithuania,1950,Europe & Central Asia,"2,567,402",5403.873368,63.56,6.409493875,3.732705163
Lithuania,1960,Europe & Central Asia,"2,769,849",7503.226839,70.28,6.442456094,3.875248076
Lithuania,1970,Europe & Central Asia,"3,137,113",10602.53211,71.08,6.496530162,4.025409596
Lithuania,1980,Europe & Central Asia,"3,430,089",12237.52546,70.68,6.535305389,4.087693608
Lithuania,1990,Europe & Central Asia,"3,695,890",13148.25839,71.37,6.567719037,4.11886823
Lithuania,2000,Europe & Central Asia,"3,500,028",9631.652985,72.18,6.544071519,3.983700827
Lithuania,2010,Europe & Central Asia,"3,323,611",15408.12507,71.631,6.521610188,4.187749795
Cambodia,1800,East Asia & Pacific,"2,090,000",809.2345707,35,6.320146286,2.908074428
Cambodia,1810,East Asia & Pacific,,,,,
Cambodia,1820,East Asia & Pacific,"2,090,000",809.2345707,,6.320146286,2.908074428
Cambodia,1830,East Asia & Pacific,,,,,
Cambodia,1840,East Asia & Pacific,,,,,
Cambodia,1850,East Asia & Pacific,,,,,
Cambodia,1860,East Asia & Pacific,,,,,
Cambodia,1870,East Asia & Pacific,"2,340,000",,,6.369215857,
Cambodia,1880,East Asia & Pacific,,,,,
Cambodia,1890,East Asia & Pacific,,,,,
Cambodia,1900,East Asia & Pacific,,,,,
Cambodia,1910,East Asia & Pacific,,,,,
Cambodia,1920,East Asia & Pacific,,,,,
Cambodia,1930,East Asia & Pacific,,,,,
Cambodia,1940,East Asia & Pacific,,,,,
Cambodia,1950,East Asia & Pacific,"4,345,800",352.0250734,39.779,6.638069736,2.546573598
Cambodia,1960,East Asia & Pacific,"5,433,306",489.7309238,41.211,6.735064165,2.689957528
Cambodia,1970,East Asia & Pacific,"6,937,996",472.6200887,41.662,6.841234045,2.674512177
Cambodia,1980,East Asia & Pacific,"6,505,693",606.5950009,29.438,6.813293565,2.782898827
Cambodia,1990,East Asia & Pacific,"9,531,928",642.9024504,54.896,6.979180753,2.808145081
Cambodia,2000,East Asia & Pacific,"12,446,949",833.3606682,62.03,7.09506291,2.920832999
Cambodia,2010,East Asia & Pacific,"14,138,255",1858.477823,70.811,7.15039581,3.269157383
Ethiopia,1800,Sub-Saharan Africa,"2,948,990",619.2128761,29.7,6.4696733,2.791839979
Ethiopia,1810,Sub-Saharan Africa,,,,,
Ethiopia,1820,Sub-Saharan Africa,"2,948,990",619.2128761,,6.4696733,2.791839979
Ethiopia,1830,Sub-Saharan Africa,,,,,
Ethiopia,1840,Sub-Saharan Africa,,,,,
Ethiopia,1850,Sub-Saharan Africa,,,,,
Ethiopia,1860,Sub-Saharan Africa,,,,,
Ethiopia,1870,Sub-Saharan Africa,,,,,
Ethiopia,1880,Sub-Saharan Africa,,,,,
Ethiopia,1890,Sub-Saharan Africa,,,,,
Ethiopia,1900,Sub-Saharan Africa,,,,,
Ethiopia,1910,Sub-Saharan Africa,,,,,
Ethiopia,1920,Sub-Saharan Africa,,,,,
Ethiopia,1930,Sub-Saharan Africa,,,,,
Ethiopia,1940,Sub-Saharan Africa,,,,,
Ethiopia,1950,Sub-Saharan Africa,"18,433,866",354.0915556,33.3,7.265616426,2.54911557
Ethiopia,1960,Sub-Saharan Africa,"22,553,350",399.446198,38.419,7.35321106,2.601458292
Ethiopia,1970,Sub-Saharan Africa,"28,959,382",539.884229,42.949,7.46178929,2.732300641
Ethiopia,1980,Sub-Saharan Africa,"35,426,282",588.3790566,43.753,7.549325575,2.769657206
Ethiopia,1990,Sub-Saharan Africa,"48,333,261",524.7374147,46.948,7.684246098,2.719942031
Ethiopia,2000,Sub-Saharan Africa,"65,577,897",512.3615069,52.245,7.816757485,2.709576494
Ethiopia,2010,Sub-Saharan Africa,"82,949,541",871.8371156,61.486,7.918813987,2.940435354
"Yemen, Rep.",1800,Middle East & North Africa,"2,593,000",661.9023758,23.387,6.413802517,2.82079394
"Yemen, Rep.",1810,Middle East & North Africa,,,,,
"Yemen, Rep.",1820,Middle East & North Africa,"2,593,000",665.0331287,,6.413802517,2.82284328
"Yemen, Rep.",1830,Middle East & North Africa,,,,,
"Yemen, Rep.",1840,Middle East & North Africa,,,,,
"Yemen, Rep.",1850,Middle East & North Africa,,,,,
"Yemen, Rep.",1860,Middle East & North Africa,,,,,
"Yemen, Rep.",1870,Middle East & North Africa,"2,840,000",,,6.45331834,
"Yemen, Rep.",1880,Middle East & North Africa,,,,,
"Yemen, Rep.",1890,Middle East & North Africa,,,,,
"Yemen, Rep.",1900,Middle East & North Africa,,,,,
"Yemen, Rep.",1910,Middle East & North Africa,,,,,
"Yemen, Rep.",1920,Middle East & North Africa,,,,,
"Yemen, Rep.",1930,Middle East & North Africa,,,,,
"Yemen, Rep.",1940,Middle East & North Africa,,,,,
"Yemen, Rep.",1950,Middle East & North Africa,"4,316,001",771.3049623,23.387,6.635081537,2.887226125
"Yemen, Rep.",1960,Middle East & North Africa,"5,116,419",815.9216766,32.385,6.708966103,2.911648471
"Yemen, Rep.",1970,Middle East & North Africa,"6,144,992",1041.097391,41.176,6.788521322,3.017491358
"Yemen, Rep.",1980,Middle East & North Africa,"7,945,180",1938.738669,50.633,6.900103741,3.287519273
"Yemen, Rep.",1990,Middle East & North Africa,"11,948,209",1923.299759,57.876,7.077302811,3.284046977
"Yemen, Rep.",2000,Middle East & North Africa,"17,723,186",2217.073804,60.404,7.248541795,3.345780151
"Yemen, Rep.",2010,Middle East & North Africa,"24,052,514",2418.761076,62.536,7.381160476,3.383592971
Swaziland,1800,Sub-Saharan Africa,"86,000",414.0398657,32.3,4.934498451,2.617042159
Swaziland,1810,Sub-Saharan Africa,,,,,
Swaziland,1820,Sub-Saharan Africa,,414.0398657,,,2.617042159
Swaziland,1830,Sub-Saharan Africa,,,,,
Swaziland,1840,Sub-Saharan Africa,,,,,
Swaziland,1850,Sub-Saharan Africa,,,,,
Swaziland,1860,Sub-Saharan Africa,,,,,
Swaziland,1870,Sub-Saharan Africa,,,,,
Swaziland,1880,Sub-Saharan Africa,,,,,
Swaziland,1890,Sub-Saharan Africa,,,,,
Swaziland,1900,Sub-Saharan Africa,,,,,
Swaziland,1910,Sub-Saharan Africa,,,,,
Swaziland,1920,Sub-Saharan Africa,,,,,
Swaziland,1930,Sub-Saharan Africa,,,,,
Swaziland,1940,Sub-Saharan Africa,,,,,
Swaziland,1950,Sub-Saharan Africa,"273,000",1102.397435,40.498,5.436162647,3.042338194
Swaziland,1960,Sub-Saharan Africa,"349,181",1428.807539,44.283,5.543050604,3.154973733
Swaziland,1970,Sub-Saharan Africa,"445,735",3111.991308,48.045,5.649076737,3.493038375
Swaziland,1980,Sub-Saharan Africa,"603,385",3664.765943,54.323,5.78059451,3.564046243
Swaziland,1990,Sub-Saharan Africa,"862,947",3722.546981,59.458,5.935984123,3.570840188
Swaziland,2000,Sub-Saharan Africa,"1,063,832",4021.223575,48.689,6.02687305,3.60435822
Swaziland,2010,Sub-Saharan Africa,"1,186,056",5163.288425,48.398,6.074105195,3.712926386
Argentina,1800,America,"534,000",871.6252695,33.2,5.727541257,2.940329812
Argentina,1810,America,,,,,
Argentina,1820,America,"534,000",871.6252695,,5.727541257,2.940329812
Argentina,1830,America,,,,,
Argentina,1840,America,,,,,
Argentina,1850,America,"1,100,000",,,6.041392685,
Argentina,1860,America,,,,,
Argentina,1870,America,"1,796,000",,,6.254306332,
Argentina,1880,America,,1769.57308,33.1,,3.247868503
Argentina,1890,America,"3,376,000",2982.768041,34,6.528402438,3.474619481
Argentina,1900,America,"4,693,000",3419.661928,36.8,6.671450554,3.533983173
Argentina,1910,America,"6,836,000",4832.383347,43.5,6.834802054,3.684161379
Argentina,1920,America,"8,861,000",4263.132851,50.2,6.947482737,3.629728867
Argentina,1930,America,"11,896,000",5081.199522,54.3,7.075400956,3.705966249
Argentina,1940,America,"14,169,000",5202.228574,59.1,7.1513392,3.71618943
Argentina,1950,America,"17,150,335",6252.858599,61.418,7.234272608,3.796078608
Argentina,1960,America,"20,625,451",6984.75572,65.022,7.314403454,3.844151222
Argentina,1970,America,"23,983,358",9212.30291,66.449,7.37990999,3.96436821
Argentina,1980,America,"28,131,040",10126.50131,69.464,7.449185788,4.005459423
Argentina,1990,America,"32,642,442",7846.612519,71.566,7.513782641,3.894682207
Argentina,2000,America,"36,930,709",10571.36362,73.822,7.567387645,4.024131011
Argentina,2010,America,"40,412,376",14486.6366,75.772,7.606514385,4.160967566
Bolivia,1800,America,"1,100,000",695.052146,33,6.041392685,2.842017389
Bolivia,1810,America,,,,,
Bolivia,1820,America,"1,100,000",695.052146,,6.041392685,2.842017389
Bolivia,1830,America,,,,,
Bolivia,1840,America,,,,,
Bolivia,1850,America,"1,374,000",,,6.137986733,
Bolivia,1860,America,,,,,
Bolivia,1870,America,"1,495,000",,,6.174641193,
Bolivia,1880,America,,,,,
Bolivia,1890,America,,,,,
Bolivia,1900,America,"1,696,000",,,6.229425848,
Bolivia,1910,America,"1,837,000",,,6.264109156,
Bolivia,1920,America,"2,136,000",,,6.329601248,
Bolivia,1930,America,"2,397,000",,,6.379668034,
Bolivia,1940,America,"2,690,000",,33,6.42975228,
Bolivia,1950,America,"2,713,630",2530.595066,39.845,6.433550632,3.403222657
Bolivia,1960,America,"3,354,895",2117.78193,42.659,6.525678932,3.325881238
Bolivia,1970,America,"4,216,572",2869.460317,45.765,6.624959521,3.457800223
Bolivia,1980,America,"5,352,649",3391.071097,51.987,6.728568765,3.530336895
Bolivia,1990,America,"6,658,462",2897.283685,58.816,6.823373926,3.461991021
Bolivia,2000,America,"8,307,248",3394.708067,62.994,6.919457176,3.530802432
Bolivia,2010,America,"9,929,849",4095.214842,66.362,6.996942644,3.612276691
Cameroon,1800,Sub-Saharan Africa,"1,860,054",517.4604708,28.75,6.269525553,2.713877179
Cameroon,1810,Sub-Saharan Africa,,,,,
Cameroon,1820,Sub-Saharan Africa,"1,860,054",517.4604708,,6.269525553,2.713877179
Cameroon,1830,Sub-Saharan Africa,,,,,
Cameroon,1840,Sub-Saharan Africa,,,,,
Cameroon,1850,Sub-Saharan Africa,,,,,
Cameroon,1860,Sub-Saharan Africa,,,,,
Cameroon,1870,Sub-Saharan Africa,,,,,
Cameroon,1880,Sub-Saharan Africa,,,,,
Cameroon,1890,Sub-Saharan Africa,,,,,
Cameroon,1900,Sub-Saharan Africa,,,,,
Cameroon,1910,Sub-Saharan Africa,,,,,
Cameroon,1920,Sub-Saharan Africa,,,,,
Cameroon,1930,Sub-Saharan Africa,,,,,
Cameroon,1940,Sub-Saharan Africa,,,,,
Cameroon,1950,Sub-Saharan Africa,"4,466,497",1117.965667,37.869,6.649967047,3.048428466
Cameroon,1960,Sub-Saharan Africa,"5,409,083",1386.313224,41.546,6.733123646,3.141861366
Cameroon,1970,Sub-Saharan Africa,"6,841,763",1635.982295,46.103,6.835168026,3.213778599
Cameroon,1980,Sub-Saharan Africa,"9,109,727",1989.193027,51.236,6.959505362,3.298676928
Cameroon,1990,Sub-Saharan Africa,"12,180,819",2036.082876,53.619,7.08567649,3.308795451
Cameroon,2000,Sub-Saharan Africa,"15,678,269",1803.436803,51.96,7.195298112,3.256100928
Cameroon,2010,Sub-Saharan Africa,"19,598,889",2017.815915,53.718,7.292231453,3.304881543
Burkina Faso,1800,Sub-Saharan Africa,"1,665,421",454.3319222,29.2,6.221524037,2.657373252
Burkina Faso,1810,Sub-Saharan Africa,,,,,
Burkina Faso,1820,Sub-Saharan Africa,"1,665,421",454.3319222,,6.221524037,2.657373252
Burkina Faso,1830,Sub-Saharan Africa,,,,,
Burkina Faso,1840,Sub-Saharan Africa,,,,,
Burkina Faso,1850,Sub-Saharan Africa,,,,,
Burkina Faso,1860,Sub-Saharan Africa,,,,,
Burkina Faso,1870,Sub-Saharan Africa,,,,,
Burkina Faso,1880,Sub-Saharan Africa,,,,,
Burkina Faso,1890,Sub-Saharan Africa,,,,,
Burkina Faso,1900,Sub-Saharan Africa,,,,,
Burkina Faso,1910,Sub-Saharan Africa,,,,,
Burkina Faso,1920,Sub-Saharan Africa,,,,,
Burkina Faso,1930,Sub-Saharan Africa,,,,,
Burkina Faso,1940,Sub-Saharan Africa,,,,,
Burkina Faso,1950,Sub-Saharan Africa,"4,284,459",515.7078544,29.982,6.631895991,2.712403746
Burkina Faso,1960,Sub-Saharan Africa,"4,881,947",661.8616423,34.432,6.68859306,2.820767213
Burkina Faso,1970,Sub-Saharan Africa,"5,807,492",809.7494639,39.095,6.76398862,2.908350669
Burkina Faso,1980,Sub-Saharan Africa,"7,212,088",794.7620261,46.049,6.858061017,2.900237108
Burkina Faso,1990,Sub-Saharan Africa,"9,323,996",880.1735852,49.454,6.969602079,2.944568331
Burkina Faso,2000,Sub-Saharan Africa,"12,294,012",1001.477269,50.589,7.089693633,3.000641096
Burkina Faso,2010,Sub-Saharan Africa,"16,468,714",1277.686645,55.081,7.216659688,3.106424355
Bahrain,1800,Middle East & North Africa,"64,474",808.9917926,30.3,4.809384615,2.907944116
Bahrain,1810,Middle East & North Africa,,,,,
Bahrain,1820,Middle East & North Africa,"64,474",812.8182684,,4.809384615,2.909993456
Bahrain,1830,Middle East & North Africa,,,,,
Bahrain,1840,Middle East & North Africa,,,,,
Bahrain,1850,Middle East & North Africa,,,,,
Bahrain,1860,Middle East & North Africa,,,,,
Bahrain,1870,Middle East & North Africa,"64,474",,,4.809384615,
Bahrain,1880,Middle East & North Africa,,,,,
Bahrain,1890,Middle East & North Africa,,,,,
Bahrain,1900,Middle East & North Africa,,,,,
Bahrain,1910,Middle East & North Africa,,,,,
Bahrain,1920,Middle East & North Africa,,,,,
