Entry,Neighborhood,Latitude,Longitude,Lot Size,Finished Size,Sale Price,Year Built,Bathrooms,Bedrooms
1,Beltzhoover,40.41738,-80.006389,3000,1408," $38,464 ",1911,1,2
2,Homewood North,40.464311,-79.899545,2613,1218," $38,806 ",1900,2,4
3,Troy Hill,40.468966,-79.980845,2200,1174," $45,893 ",1900,1,2
4,Fine View,40.461488,-80.001624,5227,1632," $46,048 ",1900,1,3
5,Perry South,40.461021,-80.009406,1140,1008," $48,419 ",1900,1,1
6,Sheraden,40.457785,-80.052283,2500,1819," $48,918 ",1900,1,3
7,Arlington,40.417038,-79.970231,4000,1606," $48,919 ",1910,1,3
8,Beechview,40.409787,-80.020015,5240,2328," $49,469 ",1920,,0
9,Carrick,40.404466,-79.978397,8025,1200," $50,611 ",1914,1,3
10,Perry South,40.468852,-80.011054,3143,880," $51,132 ",1940,1,3
11,Central Northside,40.459549,-80.008864,756,1344," $51,996 ",1930,1.5,3
12,Marshall - Shadeland,40.468064,-80.026239,1928,1120," $52,565 ",1946,1,3
13,Beltzhoover,40.417179,-80.001238,2562,1855," $52,646 ",1910,1,2
14,Marshall - Shadeland,40.471365,-80.029767,3900,1360," $52,754 ",1920,1,2
15,Arlington,40.41537,-79.967994,5760,1731," $53,078 ",1918,,3
16,Overbrook,40.385938,-79.997298,4455,842," $53,590 ",1900,1,2
17,Marshall - Shadeland,40.473932,-80.025917,10693,952," $54,361 ",1891,1,2
18,Mount Washington,40.427185,-80.00945,2200,1152," $54,608 ",1880,2,2
19,Sheraden,40.454689,-80.049914,7405,1960," $55,001 ",1919,1,4
20,Spring Hill - City View,40.462044,-79.991242,2266,1696," $55,281 ",1900,2,4
21,Knoxville,40.409892,-79.994207,2945,1596," $55,542 ",1922,1,5
22,Sheraden,40.457386,-80.0503,2482,1663," $55,861 ",1900,2,4
23,Fine View,40.46433,-80.001017,2400,1796," $56,735 ",1913,2,3
24,Spring Hill - City View,40.464492,-79.991,7800,1246," $58,243 ",1900,2,2
25,Beechview,40.403473,-80.021036,3920,1152," $58,309 ",1927,1,3
26,Elliott,40.444145,-80.037856,2178,1454," $58,740 ",1910,1,3
27,Sheraden,40.456153,-80.05025,2500,1650," $58,802 ",1910,1,3
28,California-Kirkbride,40.46282,-80.026683,1545,1071," $58,817 ",1939,2,2
29,Spring Garden,40.46898,-79.985778,3223,1760," $59,032 ",1910,1,3
30,Duquesne Heights,40.435995,-80.025033,2700,920," $59,428 ",1955,1,2
31,Manchester,40.456362,-80.0234,1054,1816," $60,403 ",1900,1,3
32,Arlington,40.417009,-79.966531,7510,1986," $60,564 ",1890,2,3
33,Mount Washington,40.422617,-80.00802,3120,924," $61,483 ",1923,1,2
34,Marshall - Shadeland,40.474644,-80.025972,4500,1197," $61,658 ",1940,2,2
